Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3528922006.8560025,380160000.0,3028392000.0 
 06/02,3489269603.074187,380160000.0,3028392000.0 
 06/03,3658676469.5433075,380160000.0,3028392000.0 
 06/04,3724777989.4644076,380160000.0,3028392000.0 
 06/05,3514440550.062478,380160000.0,3028392000.0 
 06/06,3348144315.3421709,322560000.0,3617856000.0 
 06/07,2533598246.1599986,322560000.0,3617856000.0 
 06/08,2235645661.3109796,380160000.0,3028392000.0 
 06/09,2469902233.8511698,380160000.0,3028392000.0 
 06/10,2410095563.298105,380160000.0,3028392000.0 
 06/11,3172614669.4428689,380160000.0,3028392000.0 
 06/12,2596815154.1018736,380160000.0,3028392000.0 
 06/13,1741875316.114816,322560000.0,3617856000.0 
 06/14,2278012792.9464156,322560000.0,3617856000.0 
 06/15,1534998760.5805183,380160000.0,3028392000.0 
 06/16,1886596106.9457827,380160000.0,3028392000.0 
 06/17,1874153317.240102,380160000.0,3028392000.0 
 06/18,2088870222.1186815,380160000.0,3028392000.0 
 06/19,3142526780.8592417,380160000.0,3028392000.0 
 06/20,3004387392.7653834,322560000.0,3617856000.0 
 06/21,3436958681.1412189,322560000.0,3617856000.0 
 06/22,3628520474.819813,380160000.0,3028392000.0 
 06/23,3981052239.7144176,380160000.0,3028392000.0 
 06/24,3807321246.084437,380160000.0,3028392000.0 
 06/25,3347893804.788165,380160000.0,3028392000.0 
 06/26,3244129396.294445,380160000.0,3028392000.0 
 06/27,3285250583.145915,322560000.0,3617856000.0 
 06/28,3680031630.3176286,322560000.0,3617856000.0 
 06/29,3567625904.0095155,380160000.0,3028392000.0 
 06/30,3884782278.955455,380160000.0,3028392000.0 
