Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3642575654.424378,332640000.0,2556338400.0 
 06/02,3635488538.7975966,332640000.0,2556338400.0 
 06/03,3682875371.488076,332640000.0,2556338400.0 
 06/04,3735490591.1372797,332640000.0,2556338400.0 
 06/05,3467245108.4176986,332640000.0,2556338400.0 
 06/06,3300234154.2222735,281160000.0,3042646200.0 
 06/07,2683315492.3723337,281160000.0,3042646200.0 
 06/08,2460590425.7637097,332640000.0,2556338400.0 
 06/09,2590294168.6233565,332640000.0,2556338400.0 
 06/10,2517307413.786149,332640000.0,2556338400.0 
 06/11,3210017566.968218,332640000.0,2556338400.0 
 06/12,2609120341.60043,332640000.0,2556338400.0 
 06/13,1800475705.7940069,281160000.0,3042646200.0 
 06/14,2321798245.192108,281160000.0,3042646200.0 
 06/15,1638545569.0227652,332640000.0,2556338400.0 
 06/16,2001496568.423568,332640000.0,2556338400.0 
 06/17,1996498275.1905232,332640000.0,2556338400.0 
 06/18,2267661973.583994,332640000.0,2556338400.0 
 06/19,3244000738.469081,332640000.0,2556338400.0 
 06/20,3157068411.3682415,281160000.0,3042646200.0 
 06/21,3547759753.9409306,281160000.0,3042646200.0 
 06/22,3713265081.1087515,332640000.0,2556338400.0 
 06/23,4016911497.394676,332640000.0,2556338400.0 
 06/24,3865513545.4594137,332640000.0,2556338400.0 
 06/25,3489792253.017363,332640000.0,2556338400.0 
 06/26,3453872309.716938,332640000.0,2556338400.0 
 06/27,3463639485.5968496,281160000.0,3042646200.0 
 06/28,3793228938.3699548,281160000.0,3042646200.0 
 06/29,3685813242.306489,332640000.0,2556338400.0 
 06/30,3931733288.133958,332640000.0,2556338400.0 
