Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3453657569.261959,380160000.0,3028392000.0 
 06/02,3411323246.3071577,380160000.0,3028392000.0 
 06/03,3555983252.9034407,380160000.0,3028392000.0 
 06/04,3598956314.0715825,380160000.0,3028392000.0 
 06/05,3404923489.166254,380160000.0,3028392000.0 
 06/06,3252590406.7479054,322560000.0,3617856000.0 
 06/07,2487559673.3420488,322560000.0,3617856000.0 
 06/08,2187129470.632817,380160000.0,3028392000.0 
 06/09,2388535073.711362,380160000.0,3028392000.0 
 06/10,2338773482.593857,380160000.0,3028392000.0 
 06/11,3061146348.6222259,380160000.0,3028392000.0 
 06/12,2525762249.8163335,380160000.0,3028392000.0 
 06/13,1695050640.5713309,322560000.0,3617856000.0 
 06/14,2198786528.055574,322560000.0,3617856000.0 
 06/15,1496233013.87046,380160000.0,3028392000.0 
 06/16,1849715444.545519,380160000.0,3028392000.0 
 06/17,1837243943.0049399,380160000.0,3028392000.0 
 06/18,2051534393.351546,380160000.0,3028392000.0 
 06/19,3053474008.9670255,380160000.0,3028392000.0 
 06/20,2937390330.7112905,322560000.0,3617856000.0 
 06/21,3335362316.440188,322560000.0,3617856000.0 
 06/22,3515347924.0398766,380160000.0,3028392000.0 
 06/23,3849485517.2402126,380160000.0,3028392000.0 
 06/24,3687206834.084332,380160000.0,3028392000.0 
 06/25,3279007886.8373897,380160000.0,3028392000.0 
 06/26,3178775792.8333375,380160000.0,3028392000.0 
 06/27,3209554280.41356,322560000.0,3617856000.0 
 06/28,3563363461.652942,322560000.0,3617856000.0 
 06/29,3464690421.6324017,380160000.0,3028392000.0 
 06/30,3766665946.9655959,380160000.0,3028392000.0 
