Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3453231938.118879,380160000.0,3028392000.0 
 06/02,3410896361.25664,380160000.0,3028392000.0 
 06/03,3555700497.5461385,380160000.0,3028392000.0 
 06/04,3598804831.2974979,380160000.0,3028392000.0 
 06/05,3404735313.5466859,380160000.0,3028392000.0 
 06/06,3252145199.064464,322560000.0,3617856000.0 
 06/07,2486598070.9866478,322560000.0,3617856000.0 
 06/08,2186450148.3419916,380160000.0,3028392000.0 
 06/09,2388592711.994154,380160000.0,3028392000.0 
 06/10,2339113409.16608,380160000.0,3028392000.0 
 06/11,3061335809.555022,380160000.0,3028392000.0 
 06/12,2525432803.1091439,380160000.0,3028392000.0 
 06/13,1694684659.7571388,322560000.0,3617856000.0 
 06/14,2199008976.596368,322560000.0,3617856000.0 
 06/15,1496201028.5206342,380160000.0,3028392000.0 
 06/16,1849143505.2058628,380160000.0,3028392000.0 
 06/17,1836642481.9394532,380160000.0,3028392000.0 
 06/18,2050723436.891224,380160000.0,3028392000.0 
 06/19,3053073861.794441,380160000.0,3028392000.0 
 06/20,2937109882.495122,322560000.0,3617856000.0 
 06/21,3335218677.6241786,322560000.0,3617856000.0 
 06/22,3515231714.770957,380160000.0,3028392000.0 
 06/23,3849420949.991154,380160000.0,3028392000.0 
 06/24,3687102643.598723,380160000.0,3028392000.0 
 06/25,3278654936.6000678,380160000.0,3028392000.0 
 06/26,3178269491.1393725,380160000.0,3028392000.0 
 06/27,3209115611.6264917,322560000.0,3617856000.0 
 06/28,3563092800.803929,322560000.0,3617856000.0 
 06/29,3464516344.8520209,380160000.0,3028392000.0 
 06/30,3766420272.847427,380160000.0,3028392000.0 
