Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3643372176.6162216,332640000.0,2556338400.0 
 06/02,3636353128.0410106,332640000.0,2556338400.0 
 06/03,3684596211.205566,332640000.0,2556338400.0 
 06/04,3737723783.8488776,332640000.0,2556338400.0 
 06/05,3468909997.244135,332640000.0,2556338400.0 
 06/06,3301122780.072848,281160000.0,3042646200.0 
 06/07,2682783523.990976,281160000.0,3042646200.0 
 06/08,2461054938.9620425,332640000.0,2556338400.0 
 06/09,2591852432.252872,332640000.0,2556338400.0 
 06/10,2518951003.3048675,332640000.0,2556338400.0 
 06/11,3212111298.2523705,332640000.0,2556338400.0 
 06/12,2609656215.167814,332640000.0,2556338400.0 
 06/13,1800615642.1357268,281160000.0,3042646200.0 
 06/14,2323151294.2101809,281160000.0,3042646200.0 
 06/15,1638787103.7380534,332640000.0,2556338400.0 
 06/16,2001118623.1065465,332640000.0,2556338400.0 
 06/17,1996276464.8181427,332640000.0,2556338400.0 
 06/18,2267117176.998947,332640000.0,2556338400.0 
 06/19,3245000954.3845016,332640000.0,2556338400.0 
 06/20,3157694939.8792998,281160000.0,3042646200.0 
 06/21,3549111974.585209,281160000.0,3042646200.0 
 06/22,3714900727.6720407,332640000.0,2556338400.0 
 06/23,4019058671.436084,332640000.0,2556338400.0 
 06/24,3867440367.1618545,332640000.0,2556338400.0 
 06/25,3490316703.2552068,332640000.0,2556338400.0 
 06/26,3454461493.9848659,332640000.0,2556338400.0 
 06/27,3464560960.4251286,281160000.0,3042646200.0 
 06/28,3795300541.5130345,281160000.0,3042646200.0 
 06/29,3687474802.2440245,332640000.0,2556338400.0 
 06/30,3933543652.7845966,332640000.0,2556338400.0 
