Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3528960724.400317,380160000.0,3028392000.0 
 06/02,3489307571.488921,380160000.0,3028392000.0 
 06/03,3658729259.042949,380160000.0,3028392000.0 
 06/04,3724851511.0230729,380160000.0,3028392000.0 
 06/05,3514510857.0708296,380160000.0,3028392000.0 
 06/06,3348191075.8810675,322560000.0,3617856000.0 
 06/07,2533616703.692079,322560000.0,3617856000.0 
 06/08,2235669751.656822,380160000.0,3028392000.0 
 06/09,2469964370.0742666,380160000.0,3028392000.0 
 06/10,2410170112.632263,380160000.0,3028392000.0 
 06/11,3172686620.7464807,380160000.0,3028392000.0 
 06/12,2596855840.098095,380160000.0,3028392000.0 
 06/13,1741900578.2097543,322560000.0,3617856000.0 
 06/14,2278066693.5506899,322560000.0,3617856000.0 
 06/15,1535022533.9177955,380160000.0,3028392000.0 
 06/16,1886607847.1043537,380160000.0,3028392000.0 
 06/17,1874159612.1664172,380160000.0,3028392000.0 
 06/18,2088875505.2807019,380160000.0,3028392000.0 
 06/19,3142570317.6175277,380160000.0,3028392000.0 
 06/20,3004439314.258725,322560000.0,3617856000.0 
 06/21,3437016264.898137,322560000.0,3617856000.0 
 06/22,3628590358.019843,380160000.0,3028392000.0 
 06/23,3981131823.3008778,380160000.0,3028392000.0 
 06/24,3807403830.4507949,380160000.0,3028392000.0 
 06/25,3347942223.7908337,380160000.0,3028392000.0 
 06/26,3244169700.895214,380160000.0,3028392000.0 
 06/27,3285296604.3026487,322560000.0,3617856000.0 
 06/28,3680099842.060353,322560000.0,3617856000.0 
 06/29,3567700967.892642,380160000.0,3028392000.0 
 06/30,3884855626.3945105,380160000.0,3028392000.0 
