Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3528136646.8240215,380160000.0,3028392000.0 
 06/02,3488407758.951728,380160000.0,3028392000.0 
 06/03,3656455880.3178718,380160000.0,3028392000.0 
 06/04,3721273063.6772239,380160000.0,3028392000.0 
 06/05,3511400602.9310476,380160000.0,3028392000.0 
 06/06,3346576033.750288,322560000.0,3617856000.0 
 06/07,2535093332.9619019,322560000.0,3617856000.0 
 06/08,2236344670.0958688,380160000.0,3028392000.0 
 06/09,2467685501.3415348,380160000.0,3028392000.0 
 06/10,2406901205.4880897,380160000.0,3028392000.0 
 06/11,3168692722.084288,380160000.0,3028392000.0 
 06/12,2595731873.4600379,380160000.0,3028392000.0 
 06/13,1741852604.787087,322560000.0,3617856000.0 
 06/14,2275593477.824858,322560000.0,3617856000.0 
 06/15,1534181086.8587325,380160000.0,3028392000.0 
 06/16,1887571157.740865,380160000.0,3028392000.0 
 06/17,1875420659.0832189,380160000.0,3028392000.0 
 06/18,2090706005.1763619,380160000.0,3028392000.0 
 06/19,3141756060.7837545,380160000.0,3028392000.0 
 06/20,3003497766.4968955,322560000.0,3617856000.0 
 06/21,3434747850.7953617,322560000.0,3617856000.0 
 06/22,3625770765.4110057,380160000.0,3028392000.0 
 06/23,3977386489.74041,380160000.0,3028392000.0 
 06/24,3803904482.320087,380160000.0,3028392000.0 
 06/25,3346889593.6368386,380160000.0,3028392000.0 
 06/26,3243724348.338071,380160000.0,3028392000.0 
 06/27,3284397280.3962285,322560000.0,3617856000.0 
 06/28,3677244995.8054916,322560000.0,3617856000.0 
 06/29,3564828730.8223345,380160000.0,3028392000.0 
 06/30,3881856569.475186,380160000.0,3028392000.0 
