Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3747103565.7909929,332640000.0,2556338400.0 
 06/02,3704441332.040549,332640000.0,2556338400.0 
 06/03,3768881049.23322,332640000.0,2556338400.0 
 06/04,3807697922.0904796,332640000.0,2556338400.0 
 06/05,3550632867.3219168,332640000.0,2556338400.0 
 06/06,3400254541.663859,281160000.0,3042646200.0 
 06/07,2747708610.298652,281160000.0,3042646200.0 
 06/08,2521973260.402627,332640000.0,2556338400.0 
 06/09,2685159288.315743,332640000.0,2556338400.0 
 06/10,2601598788.667162,332640000.0,2556338400.0 
 06/11,3291308588.726168,332640000.0,2556338400.0 
 06/12,2676606082.7320249,332640000.0,2556338400.0 
 06/13,1852997698.8822766,281160000.0,3042646200.0 
 06/14,2392459721.2714178,281160000.0,3042646200.0 
 06/15,1688547744.7651389,332640000.0,2556338400.0 
 06/16,2053093774.570745,332640000.0,2556338400.0 
 06/17,2039694844.1010826,332640000.0,2556338400.0 
 06/18,2302550481.848689,332640000.0,2556338400.0 
 06/19,3283367511.892194,332640000.0,2556338400.0 
 06/20,3198604730.09374,281160000.0,3042646200.0 
 06/21,3604893251.728343,281160000.0,3042646200.0 
 06/22,3771441577.109417,332640000.0,2556338400.0 
 06/23,4083678093.5276758,332640000.0,2556338400.0 
 06/24,3928782816.097174,332640000.0,2556338400.0 
 06/25,3537684477.171641,332640000.0,2556338400.0 
 06/26,3494428960.854931,332640000.0,2556338400.0 
 06/27,3508186372.5502464,281160000.0,3042646200.0 
 06/28,3851279646.6197259,281160000.0,3042646200.0 
 06/29,3756418650.6680009,332640000.0,2556338400.0 
 06/30,3996542938.0414955,332640000.0,2556338400.0 
