Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3528424724.084334,380160000.0,3028392000.0 
 06/02,3488748767.099501,380160000.0,3028392000.0 
 06/03,3657868974.626094,380160000.0,3028392000.0 
 06/04,3723660712.066345,380160000.0,3028392000.0 
 06/05,3513445669.5594165,380160000.0,3028392000.0 
 06/06,3347439601.744146,322560000.0,3617856000.0 
 06/07,2533442100.7350246,322560000.0,3617856000.0 
 06/08,2235392968.460453,380160000.0,3028392000.0 
 06/09,2469272878.445759,380160000.0,3028392000.0 
 06/10,2409382821.811628,380160000.0,3028392000.0 
 06/11,3171573917.316701,380160000.0,3028392000.0 
 06/12,2596294877.4488999,380160000.0,3028392000.0 
 06/13,1741651351.4031723,322560000.0,3617856000.0 
 06/14,2277485371.217244,322560000.0,3617856000.0 
 06/15,1534771205.5005789,380160000.0,3028392000.0 
 06/16,1886555631.3605757,380160000.0,3028392000.0 
 06/17,1874177359.9102853,380160000.0,3028392000.0 
 06/18,2088926120.7519308,380160000.0,3028392000.0 
 06/19,3142062333.351129,380160000.0,3028392000.0 
 06/20,3003963392.933042,322560000.0,3617856000.0 
 06/21,3436227664.2533466,322560000.0,3617856000.0 
 06/22,3627660443.608668,380160000.0,3028392000.0 
 06/23,3979939341.108218,380160000.0,3028392000.0 
 06/24,3806241257.853587,380160000.0,3028392000.0 
 06/25,3347377263.6459729,380160000.0,3028392000.0 
 06/26,3243673136.642818,380160000.0,3028392000.0 
 06/27,3284689537.2981936,322560000.0,3617856000.0 
 06/28,3678992635.5145528,322560000.0,3617856000.0 
 06/29,3566638747.618175,380160000.0,3028392000.0 
 06/30,3883730168.941642,380160000.0,3028392000.0 
