Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3642949124.1330168,332640000.0,2556338400.0 
 06/02,3635893975.4432647,332640000.0,2556338400.0 
 06/03,3683665065.5467398,332640000.0,2556338400.0 
 06/04,3736483309.5883357,332640000.0,2556338400.0 
 06/05,3467986684.5771558,332640000.0,2556338400.0 
 06/06,3300654622.9454038,281160000.0,3042646200.0 
 06/07,2683074340.1228458,281160000.0,3042646200.0 
 06/08,2460780576.2425615,332640000.0,2556338400.0 
 06/09,2590963968.966934,332640000.0,2556338400.0 
 06/10,2518010808.434851,332640000.0,2556338400.0 
 06/11,3210938937.605394,332640000.0,2556338400.0 
 06/12,2609370694.512734,332640000.0,2556338400.0 
 06/13,1800534107.5333045,281160000.0,3042646200.0 
 06/14,2322380675.7593405,281160000.0,3042646200.0 
 06/15,1638658052.2065836,332640000.0,2556338400.0 
 06/16,2001326299.1042855,332640000.0,2556338400.0 
 06/17,1996396662.4696627,332640000.0,2556338400.0 
 06/18,2267404105.8090689,332640000.0,2556338400.0 
 06/19,3244408077.8797399,332640000.0,2556338400.0 
 06/20,3157328594.663515,281160000.0,3042646200.0 
 06/21,3548347736.1641585,281160000.0,3042646200.0 
 06/22,3713998490.380615,332640000.0,2556338400.0 
 06/23,4017871894.735689,332640000.0,2556338400.0 
 06/24,3866376714.629252,332640000.0,2556338400.0 
 06/25,3490041615.8966238,332640000.0,2556338400.0 
 06/26,3454123591.6292259,332640000.0,2556338400.0 
 06/27,3464034908.191765,281160000.0,3042646200.0 
 06/28,3794135901.3820197,281160000.0,3042646200.0 
 06/29,3686533540.9674856,332640000.0,2556338400.0 
 06/30,3932536353.6788899,332640000.0,2556338400.0 
