Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3640555998.0908758,332640000.0,2556338400.0 
 06/02,3633373502.1703517,332640000.0,2556338400.0 
 06/03,3680352653.4193265,332640000.0,2556338400.0 
 06/04,3732526756.526399,332640000.0,2556338400.0 
 06/05,3464615980.557534,332640000.0,2556338400.0 
 06/06,3297392470.722841,281160000.0,3042646200.0 
 06/07,2681167377.794033,281160000.0,3042646200.0 
 06/08,2459045750.8777945,332640000.0,2556338400.0 
 06/09,2588776600.094532,332640000.0,2556338400.0 
 06/10,2516593364.9630596,332640000.0,2556338400.0 
 06/11,3207812575.6219408,332640000.0,2556338400.0 
 06/12,2606943031.0309865,332640000.0,2556338400.0 
 06/13,1798957172.1446753,281160000.0,3042646200.0 
 06/14,2320244288.5176918,281160000.0,3042646200.0 
 06/15,1637485799.4854782,332640000.0,2556338400.0 
 06/16,1999942805.286205,332640000.0,2556338400.0 
 06/17,1995061825.3207982,332640000.0,2556338400.0 
 06/18,2266004611.7001478,332640000.0,2556338400.0 
 06/19,3242027526.795672,332640000.0,2556338400.0 
 06/20,3155726221.2955319,281160000.0,3042646200.0 
 06/21,3545438102.685212,281160000.0,3042646200.0 
 06/22,3710668524.22416,332640000.0,2556338400.0 
 06/23,4014053552.6272904,332640000.0,2556338400.0 
 06/24,3862866303.697068,332640000.0,2556338400.0 
 06/25,3487997317.8544337,332640000.0,2556338400.0 
 06/26,3452270369.003294,332640000.0,2556338400.0 
 06/27,3461988468.605323,281160000.0,3042646200.0 
 06/28,3790832421.156161,281160000.0,3042646200.0 
 06/29,3683714479.520366,332640000.0,2556338400.0 
 06/30,3929062783.5418565,332640000.0,2556338400.0 
