Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3471309960.931034,380160000.0,3028392000.0 
 06/02,3429594052.1228,380160000.0,3028392000.0 
 06/03,3579908776.9974677,380160000.0,3028392000.0 
 06/04,3628016566.1434237,380160000.0,3028392000.0 
 06/05,3430422231.6761739,380160000.0,3028392000.0 
 06/06,3275217152.231747,322560000.0,3617856000.0 
 06/07,2498707334.2060387,322560000.0,3617856000.0 
 06/08,2198146060.268119,380160000.0,3028392000.0 
 06/09,2406596740.75821,380160000.0,3028392000.0 
 06/10,2354903277.081456,380160000.0,3028392000.0 
 06/11,3086623668.7798578,380160000.0,3028392000.0 
 06/12,2542240306.0555918,380160000.0,3028392000.0 
 06/13,1705651148.6682943,322560000.0,3617856000.0 
 06/14,2216446793.2267,322560000.0,3617856000.0 
 06/15,1504958801.8967634,380160000.0,3028392000.0 
 06/16,1858322789.8677126,380160000.0,3028392000.0 
 06/17,1845551481.7520984,380160000.0,3028392000.0 
 06/18,2060374549.5096613,380160000.0,3028392000.0 
 06/19,3073712564.079704,380160000.0,3028392000.0 
 06/20,2952986660.365647,322560000.0,3617856000.0 
 06/21,3358387861.3271028,322560000.0,3617856000.0 
 06/22,3541002666.6083796,380160000.0,3028392000.0 
 06/23,3879581354.85248,380160000.0,3028392000.0 
 06/24,3714756084.3199217,380160000.0,3028392000.0 
 06/25,3295405848.697543,380160000.0,3028392000.0 
 06/26,3194071541.861231,380160000.0,3028392000.0 
 06/27,3227024194.954734,322560000.0,3617856000.0 
 06/28,3590163504.869509,322560000.0,3617856000.0 
 06/29,3488292101.850159,380160000.0,3028392000.0 
 06/30,3793732706.518294,380160000.0,3028392000.0 
