Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3502145831.9558098,380160000.0,3028392000.0 
 06/02,3461501459.3618276,380160000.0,3028392000.0 
 06/03,3621793231.213023,380160000.0,3028392000.0 
 06/04,3679166565.953591,380160000.0,3028392000.0 
 06/05,3474979494.978612,380160000.0,3028392000.0 
 06/06,3314343236.474903,322560000.0,3617856000.0 
 06/07,2517949211.477919,322560000.0,3617856000.0 
 06/08,2218069204.0070545,380160000.0,3028392000.0 
 06/09,2439428455.2745945,380160000.0,3028392000.0 
 06/10,2383625333.0094535,380160000.0,3028392000.0 
 06/11,3131704560.4122765,380160000.0,3028392000.0 
 06/12,2571234573.4047949,380160000.0,3028392000.0 
 06/13,1724781508.6218537,322560000.0,3617856000.0 
 06/14,2248398980.7564246,322560000.0,3617856000.0 
 06/15,1520687847.5380157,380160000.0,3028392000.0 
 06/16,1873594046.5338937,380160000.0,3028392000.0 
 06/17,1860806483.6960638,380160000.0,3028392000.0 
 06/18,2075993815.2870556,380160000.0,3028392000.0 
 06/19,3110008615.37648,380160000.0,3028392000.0 
 06/20,2980329173.479295,322560000.0,3617856000.0 
 06/21,3399583284.3498489,322560000.0,3617856000.0 
 06/22,3586878016.0712525,380160000.0,3028392000.0 
 06/23,3932891597.5506784,380160000.0,3028392000.0 
 06/24,3763494486.707412,380160000.0,3028392000.0 
 06/25,3323584112.6014449,380160000.0,3028392000.0 
 06/26,3220832557.727752,380160000.0,3028392000.0 
 06/27,3257894635.6991298,322560000.0,3617856000.0 
 06/28,3637466281.6480967,322560000.0,3617856000.0 
 06/29,3530046825.2681996,380160000.0,3028392000.0 
 06/30,3841686704.1434018,380160000.0,3028392000.0 
