Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3739746481.361528,332640000.0,2556338400.0 
 06/02,3696832544.3956887,332640000.0,2556338400.0 
 06/03,3759219096.7683665,332640000.0,2556338400.0 
 06/04,3795737405.7289764,332640000.0,2556338400.0 
 06/05,3540573110.7981665,332640000.0,2556338400.0 
 06/06,3390931116.752554,281160000.0,3042646200.0 
 06/07,2742414163.7997777,281160000.0,3042646200.0 
 06/08,2515635040.991799,332640000.0,2556338400.0 
 06/09,2676382936.6910688,332640000.0,2556338400.0 
 06/10,2595760668.526379,332640000.0,2556338400.0 
 06/11,3281424509.800859,332640000.0,2556338400.0 
 06/12,2669123453.789245,332640000.0,2556338400.0 
 06/13,1847414456.4363399,281160000.0,3042646200.0 
 06/14,2383847970.7876355,281160000.0,3042646200.0 
 06/15,1684143471.2405954,332640000.0,2556338400.0 
 06/16,2048452165.7303589,332640000.0,2556338400.0 
 06/17,2034302589.8641463,332640000.0,2556338400.0 
 06/18,2297862715.526313,332640000.0,2556338400.0 
 06/19,3274865419.7455618,332640000.0,2556338400.0 
 06/20,3192704168.8562805,281160000.0,3042646200.0 
 06/21,3594892475.0247299,281160000.0,3042646200.0 
 06/22,3759930567.7003986,332640000.0,2556338400.0 
 06/23,4071125176.6245715,332640000.0,2556338400.0 
 06/24,3916830608.8306305,332640000.0,2556338400.0 
 06/25,3530748141.1027705,332640000.0,2556338400.0 
 06/26,3487965262.3003857,332640000.0,2556338400.0 
 06/27,3500749667.8394739,281160000.0,3042646200.0 
 06/28,3840487088.833324,281160000.0,3042646200.0 
 06/29,3746765830.496281,332640000.0,2556338400.0 
 06/30,3985404841.983403,332640000.0,2556338400.0 
