Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3487358148.256948,380160000.0,3028392000.0 
 06/02,3446185761.643058,380160000.0,3028392000.0 
 06/03,3601697805.3007357,380160000.0,3028392000.0 
 06/04,3654590478.9657905,380160000.0,3028392000.0 
 06/05,3453611477.6189467,380160000.0,3028392000.0 
 06/06,3295647722.6040699,322560000.0,3617856000.0 
 06/07,2508760114.878893,322560000.0,3617856000.0 
 06/08,2208399716.747247,380160000.0,3028392000.0 
 06/09,2423473793.554088,380160000.0,3028392000.0 
 06/10,2369761623.4099895,380160000.0,3028392000.0 
 06/11,3109990212.066057,380160000.0,3028392000.0 
 06/12,2557293892.1845815,380160000.0,3028392000.0 
 06/13,1715506530.8244014,322560000.0,3617856000.0 
 06/14,2232893855.9211218,322560000.0,3617856000.0 
 06/15,1513066480.1474345,380160000.0,3028392000.0 
 06/16,1866227222.227298,380160000.0,3028392000.0 
 06/17,1853369752.015721,380160000.0,3028392000.0 
 06/18,2068450912.8788949,380160000.0,3028392000.0 
 06/19,3092441693.2385876,380160000.0,3028392000.0 
 06/20,2967196175.225527,322560000.0,3617856000.0 
 06/21,3379672019.6423437,322560000.0,3617856000.0 
 06/22,3564717421.090237,380160000.0,3028392000.0 
 06/23,3907198012.252026,380160000.0,3028392000.0 
 06/24,3740016589.3263475,380160000.0,3028392000.0 
 06/25,3310131982.374685,380160000.0,3028392000.0 
 06/26,3207989483.2134768,380160000.0,3028392000.0 
 06/27,3243046737.399952,322560000.0,3617856000.0 
 06/28,3614719623.6032598,322560000.0,3617856000.0 
 06/29,3509953755.1900417,380160000.0,3028392000.0 
 06/30,3818580192.9467036,380160000.0,3028392000.0 
