Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3499996405.855108,380160000.0,3028392000.0 
 06/02,3458699058.539739,380160000.0,3028392000.0 
 06/03,3613128569.1880295,380160000.0,3028392000.0 
 06/04,3666810619.982734,380160000.0,3028392000.0 
 06/05,3465133524.5951297,380160000.0,3028392000.0 
 06/06,3305462162.785785,322560000.0,3617856000.0 
 06/07,2514163828.000542,322560000.0,3617856000.0 
 06/08,2213638333.5779678,380160000.0,3028392000.0 
 06/09,2432724630.5793435,380160000.0,3028392000.0 
 06/10,2380492965.490201,380160000.0,3028392000.0 
 06/11,3123828536.756128,380160000.0,3028392000.0 
 06/12,2563970606.495236,380160000.0,3028392000.0 
 06/13,1719220420.9806109,322560000.0,3617856000.0 
 06/14,2241765133.9724357,322560000.0,3617856000.0 
 06/15,1517631291.0502423,380160000.0,3028392000.0 
 06/16,1871906221.7666872,380160000.0,3028392000.0 
 06/17,1857570170.2584434,380160000.0,3028392000.0 
 06/18,2074991084.2125617,380160000.0,3028392000.0 
 06/19,3104495051.9911296,380160000.0,3028392000.0 
 06/20,2978507262.1556885,322560000.0,3617856000.0 
 06/21,3393067696.3566586,322560000.0,3617856000.0 
 06/22,3577486475.7773988,380160000.0,3028392000.0 
 06/23,3921673739.9101078,380160000.0,3028392000.0 
 06/24,3752496475.5145137,380160000.0,3028392000.0 
 06/25,3320763847.2221167,380160000.0,3028392000.0 
 06/26,3218325177.4063227,380160000.0,3028392000.0 
 06/27,3254444628.8094356,322560000.0,3617856000.0 
 06/28,3629115361.2384936,322560000.0,3617856000.0 
 06/29,3522722701.813507,380160000.0,3028392000.0 
 06/30,3832377570.0050179,380160000.0,3028392000.0 
