Date/Time,Cooling:EnergyTransfer [J](Daily),InteriorLights:Electricity [J](Daily),InteriorEquipment:Electricity [J](Daily) 
 06/01,3528959934.5429589,380160000.0,3028392000.0 
 06/02,3489307724.5304105,380160000.0,3028392000.0 
 06/03,3658730755.3711946,380160000.0,3028392000.0 
 06/04,3724852902.1859419,380160000.0,3028392000.0 
 06/05,3514510668.343413,380160000.0,3028392000.0 
 06/06,3348192889.107387,322560000.0,3617856000.0 
 06/07,2533615852.8809778,322560000.0,3617856000.0 
 06/08,2235668346.0270626,380160000.0,3028392000.0 
 06/09,2469956491.100306,380160000.0,3028392000.0 
 06/10,2410158992.7398178,380160000.0,3028392000.0 
 06/11,3172686380.57527,380160000.0,3028392000.0 
 06/12,2596854981.133358,380160000.0,3028392000.0 
 06/13,1741897658.3735715,322560000.0,3617856000.0 
 06/14,2278059118.2654898,322560000.0,3617856000.0 
 06/15,1535019168.6731425,380160000.0,3028392000.0 
 06/16,1886604997.2315419,380160000.0,3028392000.0 
 06/17,1874156854.5754836,380160000.0,3028392000.0 
 06/18,2088872161.0488444,380160000.0,3028392000.0 
 06/19,3142564999.1958057,380160000.0,3028392000.0 
 06/20,3004429949.770947,322560000.0,3617856000.0 
 06/21,3437013243.164963,322560000.0,3617856000.0 
 06/22,3628586591.8033568,380160000.0,3028392000.0 
 06/23,3981130808.841107,380160000.0,3028392000.0 
 06/24,3807400977.0135848,380160000.0,3028392000.0 
 06/25,3347938607.250934,380160000.0,3028392000.0 
 06/26,3244167699.652602,380160000.0,3028392000.0 
 06/27,3285294853.253971,322560000.0,3617856000.0 
 06/28,3680100674.986918,322560000.0,3617856000.0 
 06/29,3567698441.729531,380160000.0,3028392000.0 
 06/30,3884856339.303719,380160000.0,3028392000.0 
