"index","case","datetime","key_value","name","units","value"
1,"Dark_Sparse_No Shade",2017-07-01,"","Electricity:Facility","J",106511472000
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_9B19D6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",70.0675100535785
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_9B19D6","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",26.1409238963257
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_4BBE32","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",70.6782718731653
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_4BBE32","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.4182041334946
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_3CC912","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.8011273319166
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_3CC912","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.0493186015774
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_5C02CA","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",52.2194391959409
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_5C02CA","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",24.878588940841
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_7807BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.6375325447798
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_7807BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",80.1753450822328
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_D0B56C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.5275279664675
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_D0B56C","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",81.1978994925932
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_F0171B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.557220106215
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_F0171B","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",81.9488574255331
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_F6C20E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",64.4425228741376
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_F6C20E","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.7610536254776
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C6D9BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",63.6394930605704
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C6D9BB","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.2306467250106
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_9BDED2","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",70.5112208036368
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_9BDED2","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.9475748815825
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_A8D3AE","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",57.8768764264994
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_A8D3AE","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",25.7572992054916
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_DC887A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.5389278092493
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_DC887A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",81.1429560718149
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_7B4B22","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",18.5694433790746
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_7B4B22","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",80.3689609133841
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C55811","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",55.9967344679267
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C55811","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",26.4548859105282
